state,sat_participation_2018,sat_ebrw_2018,sat_math_2018,total_sat_results_2018,sat_participation_2019,sat_ebrw_2019,sat_math_2019,total_sat_results_2019,median_income,white_pop_penetration_2018,black_pop_penetration_2018,hispanic_pop_penetration_2018,asian_pop_penetration_2018,native_american_pop_penetration_2018,pacific_islander_pop_penetration_2018,multiple_races_pop_penetration_2018,total_population_2018,white_pop_penetration_2019,black_pop_penetration_2019,hispanic_pop_penetration_2019,asian_pop_penetration_2019,native_american_pop_penetration_2019,pacific_islander_pop_penetration_2019,multiple_races_pop_penetration_2019,total_population_2019
Alabama,0.06,595,571,1166,0.07,583,560,1143,50536,0.6555569582965114,0.2645499305643227,0.043092202163026554,0.013424230947270967,0.003997811724108909,,0.019084290704035684,4752600,0.6538985966310755,0.2650458349940215,0.04440855027165363,0.013677078307566445,0.003943697426108116,,0.01871158566004489,4767100
Alaska,0.43,562,544,1106,0.41,556,541,1097,77640,0.6009025525313778,0.029191933436750812,0.0707939641799464,0.06092229586800169,0.15554928782964322,0.010435763644055846,0.07206317867719644,709100,0.6001140088356848,0.02166167878010546,0.06968790081231295,0.059854638734501926,0.15106170728231438,0.014821148639019524,0.08294142796066695,701700
Arizona,0.29,577,572,1149,0.31,569,565,1134,58945,0.544679696757706,0.04240252416372799,0.31603443598932085,0.032437217138043775,0.03881901117884728,0.0017132332995445656,0.023899604528646687,7004300,0.5415187376725838,0.04319526627218935,0.3176669484361792,0.03254437869822485,0.038898281205973516,0.0017610594533671456,0.024429416737109046,7098000
Arkansas,0.05,592,576,1169,0.06,582,559,1141,47597,0.7224181015301407,0.14955670420703113,0.07698627323451888,0.015130250231061513,0.005819327011946736,0.0028069694998801905,0.027282374285420873,2921300,0.7214371257485029,0.15199315654405474,0.07760479041916167,0.015568862275449102,0.005714285714285714,0.0036954662104362705,0.023986313088109494,2922500
California,0.6,540,536,1076,0.63,534,531,1065,75235,0.36666847330943403,0.05355147254290131,0.39388167522241063,0.14631483589231375,0.003104844641626598,0.003282928000123884,0.03319060855471159,38745900,0.36352014740170846,0.05347193648476944,0.39519495273363403,0.14727490573898822,0.0035918815196660688,0.0035453009235897077,0.03340087519764406,38642700
Colorado,1.0,519,506,1025,1.0,518,506,1024,72331,0.679489487327189,0.038198444700460826,0.2161758352534562,0.031754032258064516,0.004968317972350231,0.0009720622119815668,0.028441820276497696,5555200,0.6778751915606401,0.037617163833351154,0.21773762429167112,0.032128728750133645,0.005238960761253074,0.0011048148544139135,0.02827969635411098,5611800
Connecticut,1.0,535,519,1053,1.0,529,516,1046,78444,0.6629835848022387,0.09895277385108041,0.1662868187981421,0.04653376799469175,0.0014136110550154344,,0.02380059429362721,3466300,0.6568210117858281,0.10030984855066169,0.1689108968233284,0.045927084238264845,0.0016216372744910666,,0.02609098543422234,3453300
Delaware,1.0,505,492,998,1.0,499,486,985,68287,0.6213074544097259,0.21318118801322383,0.09480644129252426,0.04169777114215634,0.0035192492268316094,,0.02527460808360883,937700,0.6143783898755716,0.21812187599702224,0.09688397320004254,0.03924279485270658,0.0031904711262363077,,0.027969796873338296,940300
District of Columbia,0.92,497,480,977,0.94,495,480,975,86420,0.3665219344213206,0.4490193142686031,0.11319059739481958,0.03548435394520138,,,0.03368767779607726,667900,0.3666021152986742,0.4504692387904067,0.11202145091613287,0.03753910323253389,0.0026813645166095636,,0.030537762550275585,671300
Florida,0.56,550,549,1099,1.0,516,483,999,55660,0.532616882961115,0.15072804471417947,0.2633147024252165,0.027433012689807374,0.001885479885815722,0.00043178928682802793,0.023585290378295393,20843500,0.5296875,0.15006192835365853,0.2660013338414634,0.027319931402439025,0.0019007240853658536,0.0005811737804878049,0.02445217225609756,20992000
Georgia,0.7,542,522,1064,0.71,538,519,1058,58700,0.5246357512141626,0.309219802600658,0.0973582171392762,0.04124236252545825,0.0015960363465455116,0.001243537521541595,0.02471408428638571,10212800,0.5201573732271226,0.31337672430542063,0.09829026617447056,0.04103361181270643,0.0019137361569846513,0.0005634350106858364,0.024664853312609286,10294000
Hawaii,0.56,480,530,1010,0.54,550,550,1100,81275,0.205565397106584,0.015057573073516387,0.1048863300856215,0.3785060525538825,,0.09558606436374373,0.1993652199586655,1354800,0.2043186895011169,0.012211466865227104,0.10268056589724497,0.393596425912137,0.0011913626209977663,0.10193596425912137,0.18406552494415487,1343000
Idaho,1.0,508,493,1001,1.0,505,488,993,55785,0.8185624563852059,0.0054082344731332865,0.12648290300069784,0.015875785066294487,0.010525703652012096,,0.02157478483368225,1719600,0.8164372608372836,0.00656805071677423,0.1288480210177623,0.012336512650636816,0.009081044034496544,,0.025586841053172653,1750900
Illinois,0.99,513,506,1019,1.0,509,504,1013,65886,0.6100704270645743,0.13548366349369695,0.17476524311808592,0.05631753280164652,0.0011737844095703628,0.00032158476974530485,0.021851685104193466,12438400,0.6085194502641095,0.135888952702976,0.1761403622303293,0.05625975748849324,0.0009140693883824207,0.00024267328895108514,0.022042823746390234,12362300
Indiana,0.63,542,532,1074,0.66,543,537,1080,56303,0.7894590803286522,0.09258374312096314,0.07104869664410908,0.02272201754250744,0.0013102927348121658,,0.02241371336961046,6487100,0.7856506649467121,0.09221720568813538,0.07233023127245923,0.024386498356829142,0.001888878651064222,,0.02323474308178998,6511800
Iowa,0.03,634,631,1265,0.03,622,622,1244,60523,0.8553389165140016,0.033466370060193665,0.06097880136090029,0.025974875686992933,0.0029442554305155718,,0.01975922533368228,3056800,0.853081497941311,0.038951702503104375,0.06261028690935233,0.02339716358407947,0.002875629043853343,0.00032677602771060717,0.01875694399058885,3060200
Kansas,0.04,633,631,1265,0.04,618,623,1241,59597,0.7594770312999609,0.0535403417770988,0.1195509290510534,0.027995878779265997,0.005684442391729137,,0.032330266102959464,2814700,0.7572211155378487,0.05453187250996016,0.12162066021627775,0.028422026180990323,0.006225099601593625,,0.0316946499715424,2811200
Kentucky,0.04,630,618,1248,0.04,620,612,1232,50589,0.8481586926833785,0.07601323982130871,0.03587713816170173,0.014605467212925029,0.0012962062819711594,,0.023354859616230354,4320300,0.8446970573935592,0.07985090176648994,0.03722825457828815,0.016298937327807746,0.0011344430810548006,,0.020257912161692867,4319300
Louisiana,0.04,615,595,1210,0.05,610,591,1200,49469,0.5882105635828557,0.3163543026574912,0.0507600734627044,0.016130816719403446,0.005022901776823845,,0.023344323235899366,4519300,0.587716178366603,0.31854354688125197,0.05241630729560308,0.017027519672787088,0.004801493798070511,,0.019317120882052195,4498600
Maine,0.99,512,501,1013,0.99,512,502,1013,57918,0.9337437475952289,0.013389765294343978,0.015005771450557906,0.013158907272027703,0.003924586379376684,,0.02070026933435937,1299500,0.9318129463257314,0.013668125623896184,0.016816401750748677,0.011134147277892959,0.007448360592797358,,0.01888965676111495,1302300
Maryland,0.76,545,535,1080,0.82,535,523,1058,84805,0.5030660216665531,0.29304353750766504,0.10456837228316414,0.06379028411800777,0.0015159773795734824,,0.03365810451727192,5870800,0.4993787762743596,0.2964003063569058,0.10628882648285252,0.06353501829631521,0.002110458684367288,,0.03201429665560378,5875500
Massachusetts,0.8,562,563,1125,0.81,559,561,1120,81215,0.7082839081667893,0.0698959443835493,0.12384570338893977,0.06675775912551239,0.0016516764515983723,,0.029279718914698417,6659900,0.7047272508570398,0.07009683045648643,0.12390990557526914,0.06736031755578276,0.001804294220244181,0.00039093041438623924,0.031695435135622785,6650800
Michigan,1.0,511,499,1011,1.0,507,496,1003,57144,0.7499590583418628,0.1353019447287615,0.051473899692937565,0.03232343909928352,0.0049334698055271235,,0.02579324462640737,9770000,0.7492012779552716,0.13364258212501023,0.05269517489964774,0.032348242811501594,0.004823052347014008,,0.027125829442123373,9765600
Minnesota,0.04,643,655,1298,0.04,636,648,1284,71306,0.7961559482601567,0.06487520495536528,0.053944252140644924,0.047294589178356716,0.009418837675350702,,0.02785571142284569,5489000,0.790889968811199,0.06413650540364112,0.055722782331181546,0.049412490026836876,0.009229709146297237,,0.03008268658881555,5514800
Mississippi,0.03,630,606,1236,0.03,628,608,1237,45081,0.5673404181426686,0.3767104257831493,0.028200319511009236,0.008786552754045981,0.004167534903104814,,0.014343265958185733,2879400,0.5658679501935754,0.37609431132503224,0.029960587353074535,0.00997523630148931,0.0038366293467266576,,0.014195528582888634,2867100
Missouri,0.04,633,629,1262,0.04,622,615,1236,55461,0.7952481253686073,0.1130002527592889,0.040508888701659786,0.020102788777487574,0.003454376948352852,0.0014660038756424299,0.02621956356896116,5934500,0.7937844071449014,0.11230828801831681,0.04274482735399586,0.020623242815535615,0.00356908365460698,0.0013804946211215677,0.025589656391521744,5939900
Montana,0.1,606,592,1198,0.09,603,596,1199,54970,0.8608317214700193,0.003578336557059961,0.03916827852998066,0.0065764023210831725,0.05841392649903288,,0.030947775628626693,1034000,0.8612661150663845,0.005676351741389263,0.03684818164325573,0.007600538772368675,0.06051568212430248,,0.02761208389455455,1039400
Nebraska,0.03,629,623,1252,0.03,628,631,1260,61439,0.7866124458237466,0.04392958424741827,0.11065332548557975,0.022901171812296003,0.0066884263470490665,,0.029108031462357537,1868900,0.7850661827497865,0.047608881298035866,0.11325789923142614,0.02412467976088813,0.007899231426131512,,0.02145602049530316,1873600
Nevada,0.23,574,566,1140,0.2,580,576,1156,60365,0.4851846886103104,0.08671314607494805,0.290540993497352,0.08098143058255682,0.00961989676208353,0.006167459945029161,0.04082590333176912,2983400,0.478199161633165,0.09208832557678978,0.2932303528402152,0.08499191339076476,0.00881275373799386,0.005776149453741295,0.03693434993563719,3029700
New Hampshire,0.96,535,528,1063,0.95,533,526,1059,76768,0.9017019003281691,0.011142486453483934,0.03808288178279783,0.02823780813554148,,,0.018316416087918796,1310300,0.89779299847793,0.013394216133942162,0.03919330289193303,0.026484018264840183,,,0.021004566210045664,1314000
New Jersey,0.82,547,547,1094,0.82,544,545,1090,82545,0.5472887045587342,0.12606120321253853,0.20761202066840048,0.09652509652509653,0.0010196716428170435,,0.021264163697398118,8728300,0.5446927374301676,0.1243074235004713,0.20954318688645193,0.09614456169390992,0.001011564015909143,,0.02402464537784215,8699400
New Mexico,0.16,552,540,1093,0.18,543,530,1073,49754,0.3689923238644698,0.018139148291204225,0.491272673935364,0.015254485894489805,0.08849557522123894,,0.016867941133330074,2045300,0.3673949250514353,0.017145096502400314,0.49485647104927993,0.016116390712256293,0.08650925835211129,,0.017634956402468895,2041400
New York,0.79,534,534,1068,0.79,531,533,1064,68486,0.5525874353864194,0.14115865361862343,0.192723314525501,0.08512954266994095,0.002429418043950381,,0.02576655501159495,19016900,0.5517259616147406,0.14023471174034682,0.19302634292876672,0.08596753806529407,0.0020678749543851112,,0.026861219676015295,18908300
North Carolina,0.52,554,543,1098,0.51,554,546,1100,54602,0.6286189319421768,0.20863366652064833,0.09583449484289754,0.029299908406674367,0.010324160726374895,0.0006670383497272112,0.026621799211500936,10044400,0.6267838298963481,0.2094933775161001,0.0974289180153259,0.029034389577600916,0.011104865035454698,0.00047338678659131927,0.025700957622020376,10139700
North Dakota,0.02,640,643,1283,0.02,627,636,1263,64894,0.8391732822337804,0.030385984122638928,0.035313441007391186,0.019709827539009035,0.05132767588283602,,0.023816041609635914,730600,0.840766073871409,0.024487004103967168,0.04021887824897401,0.014227086183310533,0.05198358413132695,,0.02612859097127223,731000
Oklahoma,0.08,541,521,1062,0.22,490,472,963,52919,0.6530751290584629,0.07015015329786956,0.10854013259610597,0.020544534996462357,0.07546972039516785,0.000497890516495899,0.07169623437540945,3816100,0.6501868352974993,0.06867177088505057,0.11095142282265019,0.020617209752018605,0.07708589197522799,0.0012020172985967754,0.07128485196895659,3826900
Ohio,0.18,552,547,1099,0.19,550,548,1097,56602,0.7879340254845498,0.12118810486178991,0.038297272783310875,0.022904393310966106,0.0016907510633239109,,0.027721272642414956,11355900,0.7856494736378452,0.12156983658547328,0.03984495441131128,0.02294850900762014,0.001391886534819187,,0.028313438752587763,11351500
Oregon,0.48,564,553,1117,0.51,562,550,1112,62818,0.7521407025396516,0.018074340760922448,0.1326505789627323,0.04583049528072395,0.00968181375887905,0.003454315461710616,0.03816775323537998,4110800,0.7502482501392622,0.017656034294848508,0.13403085567584586,0.046501489500835574,0.009421395529075541,0.0026399283102036862,0.03950204654992855,4128900
Pennsylvania,0.7,547,539,1086,0.7,545,537,1082,61744,0.7626512540260412,0.10290520741679515,0.07587119897320815,0.03513856039263487,0.0009767438105924234,,0.022239084282496914,12388100,0.7595575879007239,0.10357419855222337,0.07759985780765254,0.035386504653567734,0.0011472337125129266,0.0001858195449844881,0.022556876938986555,12377600
Rhode Island,0.97,513,505,1018,1.0,503,492,995,67167,0.7153846153846154,0.05621301775147929,0.16045364891518737,0.03422090729783037,,,0.03116370808678501,1014000,0.7052403893422475,0.059286205879461214,0.1662570052108937,0.033428374791072656,0.0022613312358666796,,0.03333005604168715,1017100
South Carolina,0.55,547,523,1070,0.68,526,504,1030,53199,0.6383423262607002,0.26333725506105726,0.057629112742910465,0.015558440504685788,0.003022434987220577,,0.02150188648626719,4929800,0.6374142289635247,0.26226876931102283,0.05722081778419807,0.0168733196902211,0.0028690662493479394,,0.021728662573732998,4984200
South Dakota,0.03,622,618,1240,0.03,633,635,1268,58275,0.8164251207729468,0.021798044067397195,0.03782255213856486,0.012843171909979969,0.08613173088252622,,0.024979380228584893,848700,0.8193351345001763,0.022083871725596147,0.03688476447785739,0.01292141430752966,0.0839891929989428,,0.02408081757312346,851300
Tennessee,0.06,624,607,1231,0.07,618,602,1220,53320,0.7378993076642779,0.16512814283979108,0.054931373739827524,0.01727802745050407,0.0022318717356978016,,0.021893598931130815,6586400,0.7355177762050324,0.16390850637714768,0.057055519583189024,0.01816018913099128,0.0025900103901579604,,0.022391543314912134,6640900
Texas,0.66,520,512,1032,0.68,515,507,1022,61874,0.4141985441050528,0.11603982300884956,0.39836211818441336,0.0495753639737368,0.0024693120182700543,0.0006851270339708821,0.018666143305737938,28024000,0.4114055617226775,0.11656567513487143,0.39950576606260296,0.04983702300061514,0.0027151048921382156,0.000671705637377944,0.01929562825688852,28286200
Utah,0.04,480,530,1010,0.04,614,615,1230,71621,0.7796129946231366,0.011526449660323899,0.14108631958530538,0.023439260761775976,0.009369264947358253,0.00856434527834122,0.026401365143758654,3105900,0.7774959576424336,0.0103357534637456,0.14425668177927142,0.02308106908468343,0.009860181985352398,0.008179829428363082,0.026758821850924194,3154100
Vermont,0.64,565,554,1120,0.66,560,546,1106,61973,0.9289044289044289,0.01098901098901099,0.018315018315018316,0.01948051948051948,0.0034965034965034965,,0.018814518814518816,600600,0.9281056679485036,0.01120214011034944,0.017722788831299113,0.016218023741849188,0.006687844841999665,,0.019896338404949004,598100
Virginia,0.68,567,550,1117,0.68,567,551,1119,74222,0.6152576966793366,0.1856980481783405,0.09531782794148201,0.06559440730374842,0.0019677100010999623,0.000549981056208064,0.03561432883978441,8182100,0.6129552479505442,0.18852549144176614,0.09616253924814602,0.06742739856568643,0.0016615557537476633,0.00047647554703058,0.032779074171360154,8185100
Washington,0.69,543,538,1081,0.7,539,535,1074,73775,0.6794516829533116,0.036468512486427795,0.12889522258414768,0.08805646036916395,0.010572747014115091,0.006528230184581976,0.0500271444082519,7368000,0.6752784924365899,0.03807971551340939,0.12994517706326864,0.08922533978097766,0.011099287436522583,0.006384784277805466,0.04998720349142634,7423900
West Virginia,0.28,513,486,999,0.99,483,460,943,46711,0.9244992295839753,0.03612395137818867,0.012840267077555213,0.007475888831821036,0.0009130856588483707,,0.01786223820122125,1752300,0.9252443933294997,0.03214491086831513,0.014261069580218517,0.00816561242093157,0.0022426682001150085,,0.017941345600920068,1739000
Wisconsin,0.03,641,653,1294,0.03,635,648,1283,61747,0.8120541075086529,0.06170092533728897,0.06950625132443314,0.028166278166278168,0.007734689552871371,0.00033552306279579006,0.02051988415624779,5662800,0.810713216254778,0.06151027813496327,0.07075795740783146,0.02978633457222878,0.006587870567719434,,0.0200982896197002,5677100
Wyoming,0.03,633,625,1257,0.03,623,615,1238,64049,0.8416919507406746,0.0048188470462252365,0.09994645725504195,0.010708548991611637,0.023023380331965018,,0.01981081563448153,560300,0.8381020081748711,0.009596587879864936,0.10147503110005332,0.006042296072507553,0.021858894615247912,,0.021325750844144304,562700
